sensor_id,nom,quartier,sous_type,latitude,longitude,adresse,statut
TRAFIC-001,Échangeur A3 Nord - Aïn Harrouda,Aïn Harrouda,autoroute,33.6421,-7.5021,"Autoroute A3, échangeur Aïn Harrouda, km 12",actif
TRAFIC-002,Échangeur A3 Sud - Lahraouiyine,Lahraouiyine,autoroute,33.5101,-7.5631,"Autoroute A3, sortie Lahraouiyine, km 8",actif
TRAFIC-003,Péage Casa-Berrechid,Lahraouiyine,autoroute,33.4921,-7.5481,"Autoroute A7, Péage de Berrechid",actif
TRAFIC-004,Échangeur Route d'El Jadida,Hay Hassani,autoroute,33.5391,-7.6541,"Autoroute A5, échangeur El Jadida",actif
TRAFIC-005,Échangeur Route de Rabat,Aïn Sebaa,autoroute,33.6311,-7.5211,"Autoroute A1, sortie nord",actif
TRAFIC-006,Péage Mohammedia,Aïn Harrouda,autoroute,33.6621,-7.4221,"Autoroute A3, Péage Mohammedia",actif
TRAFIC-007,Bd Mohammed V - Place ONU,Centre-Ville,boulevard,33.5921,-7.6181,"Boulevard Mohammed V, Place des Nations Unies",actif
TRAFIC-008,Bd Mohammed V - Gare CTM,Centre-Ville,boulevard,33.5891,-7.6151,"Boulevard Mohammed V, hauteur Gare CTM",actif
TRAFIC-009,Bd Zerktouni - CFC,Anfa,boulevard,33.5912,-7.6261,"Boulevard Zerktouni, CFC, direction Maarif",actif
TRAFIC-010,Bd Zerktouni - Rond-point,Maarif,boulevard,33.5862,-7.6311,"Boulevard Zerktouni, Rond-point Maarif",actif
TRAFIC-011,Bd d'Anfa - Californie,Anfa,boulevard,33.5851,-7.6501,"Boulevard d'Anfa, quartier Californie",actif
TRAFIC-012,Bd d'Anfa - Polo,Anfa,boulevard,33.5921,-7.6431,"Boulevard d'Anfa, Club Équestre",actif
TRAFIC-013,Bd Al Massira - Twin Center,Maarif,boulevard,33.5861,-7.6331,"Boulevard Al Massira, Twin Center",actif
